,Run,Deletion,Rho0,Rho1,Rho2,Rho3
434,72,2,1,3,3,4
435,72,3,1,2,3,3
436,72,4,1,1,2,2
437,72,5,1,1,1,1
438,73,0,0,3,3,6
439,73,1,0,3,3,5
440,73,2,0,1,3,4
441,73,3,0,0,3,3
442,73,4,1,1,2,2
443,73,5,1,1,1,1
444,74,0,0,3,3,6
445,74,1,0,3,3,5
446,74,2,1,3,3,4
447,74,3,1,2,2,3
448,74,4,1,2,2,2
449,74,5,1,1,1,1
450,75,0,0,3,3,6
451,75,1,0,3,3,5
452,75,2,1,3,3,4
453,75,3,1,2,3,3
454,75,4,1,2,2,2
455,75,5,1,1,1,1
456,76,0,0,3,3,6
457,76,1,0,3,3,5
458,76,2,0,3,3,4
459,76,3,0,2,2,3
460,76,4,1,1,2,2
461,76,5,1,1,1,1
462,77,0,0,3,3,6
463,77,1,0,3,3,5
464,77,2,1,3,3,4
465,77,3,1,2,3,3
466,77,4,1,1,2,2
467,77,5,1,1,1,1
468,78,0,0,3,3,6
469,78,1,0,3,3,5
470,78,2,0,4,2,4
471,78,3,1,2,2,3
472,78,4,1,1,2,2
473,78,5,1,1,1,1
474,79,0,0,3,3,6
475,79,1,0,3,3,5
476,79,2,0,1,3,4
477,79,3,1,2,2,3
478,79,4,1,2,2,2
479,79,5,1,1,1,1
480,80,0,0,3,3,6
481,80,1,0,3,3,5
482,80,2,0,3,3,4
483,80,3,0,2,2,3
484,80,4,1,2,2,2
485,80,5,1,1,1,1
486,81,0,0,3,3,6
487,81,1,0,3,3,5
488,81,2,0,1,3,4
489,81,3,0,0,3,3
490,81,4,1,1,2,2
491,81,5,1,1,1,1
492,82,0,0,3,3,6
493,82,1,0,3,3,5
494,82,2,0,4,2,4
495,82,3,1,2,2,3
496,82,4,1,2,2,2
497,82,5,1,1,1,1
498,83,0,0,3,3,6
499,83,1,0,3,3,5
500,83,2,0,1,3,4
501,83,3,0,2,2,3
502,83,4,1,1,1,2
503,83,5,1,1,1,1
504,84,0,0,3,3,6
505,84,1,0,3,3,5
506,84,2,0,1,3,4
507,84,3,1,2,3,3
508,84,4,1,1,2,2
509,84,5,1,1,1,1
510,85,0,0,3,3,6
511,85,1,0,3,3,5
512,85,2,0,1,3,4
